state,city,county,median_value,median_tax
Pennsylvania,Concordville,delaware,302400,1.9845
Pennsylvania,Devon,chester,461800,1.3406
Pennsylvania,Downingtown,chester,461800,1.3406
Pennsylvania,Exton,chester,461800,1.3406
Pennsylvania,Glen Mills,delaware,302400,1.9845
Pennsylvania,Glenmoore,chester,461800,1.3406
Pennsylvania,Honey Brook,chester,461800,1.3406
Pennsylvania,Immaculata,chester,461800,1.3406
Pennsylvania,Kelton,chester,461800,1.3406
Pennsylvania,Kemblesville,chester,461800,1.3406
Pennsylvania,Kennett Square,chester,461800,1.3406
Pennsylvania,Landenberg,chester,461800,1.3406
Pennsylvania,Lewisville,chester,461800,1.3406
Pennsylvania,Lincoln University,chester,461800,1.3406
Pennsylvania,Lionville,chester,461800,1.3406
Pennsylvania,Lyndell,chester,461800,1.3406
Pennsylvania,Malvern,chester,461800,1.3406
Pennsylvania,Mendenhall,chester,461800,1.3406
Pennsylvania,Modena,chester,461800,1.3406
Pennsylvania,New London,chester,461800,1.3406
Pennsylvania,Nottingham,chester,461800,1.3406
Pennsylvania,Oxford,chester,461800,1.3406
Pennsylvania,Parkesburg,chester,461800,1.3406
Pennsylvania,Pocopson,chester,461800,1.3406
Pennsylvania,Pomeroy,chester,461800,1.3406
Pennsylvania,Sadsburyville,chester,461800,1.3406
Pennsylvania,Suplee,chester,461800,1.3406
Pennsylvania,Thorndale,chester,461800,1.3406
Pennsylvania,Thornton,delaware,302400,1.9845
Pennsylvania,Toughkenamon,chester,461800,1.3406
Pennsylvania,Unionville,chester,461800,1.3406
Pennsylvania,Wagontown,chester,461800,1.3406
Pennsylvania,West Chester,chester,461800,1.3406
Pennsylvania,West Grove,chester,461800,1.3406
Pennsylvania,Westtown,chester,461800,1.3406
Pennsylvania,Southeastern,chester,461800,1.3406
Pennsylvania,Norristown,montgomery,409900,1.4091
Pennsylvania,Bridgeport,montgomery,409900,1.4091
Pennsylvania,King Of Prussia,montgomery,409900,1.4091
Pennsylvania,Audubon,montgomery,409900,1.4091
Pennsylvania,Eagleville,montgomery,409900,1.4091
Pennsylvania,Fairview Village,montgomery,409900,1.4091
Pennsylvania,Arcola,montgomery,409900,1.4091
Pennsylvania,Birchrunville,chester,461800,1.3406
Pennsylvania,Blue Bell,montgomery,409900,1.4091
Pennsylvania,Cedars,montgomery,409900,1.4091
Pennsylvania,Chester Springs,chester,461800,1.3406
Pennsylvania,Collegeville,montgomery,409900,1.4091
Pennsylvania,Conshohocken,montgomery,409900,1.4091
Pennsylvania,Creamery,montgomery,409900,1.4091
Pennsylvania,Devault,chester,461800,1.3406
Pennsylvania,Frederick,montgomery,409900,1.4091
Pennsylvania,Gwynedd,montgomery,409900,1.4091
Pennsylvania,Gwynedd Valley,montgomery,409900,1.4091
Pennsylvania,Harleysville,montgomery,409900,1.4091
Pennsylvania,Hatfield,montgomery,409900,1.4091
Pennsylvania,Kimberton,chester,461800,1.3406
Pennsylvania,Kulpsville,montgomery,409900,1.4091
Pennsylvania,Lafayette Hill,montgomery,409900,1.4091
Pennsylvania,Lansdale,montgomery,409900,1.4091
Pennsylvania,Lederach,montgomery,409900,1.4091
Pennsylvania,Mainland,montgomery,409900,1.4091
Pennsylvania,Mont Clare,montgomery,409900,1.4091
Pennsylvania,North Wales,montgomery,409900,1.4091
Pennsylvania,Oaks,montgomery,409900,1.4091
Pennsylvania,Parker Ford,chester,461800,1.3406
Pennsylvania,Phoenixville,chester,461800,1.3406
Pennsylvania,Plymouth Meeting,montgomery,409900,1.4091
Pennsylvania,Pottstown,chester,461800,1.3406
Pennsylvania,Royersford,montgomery,409900,1.4091
Pennsylvania,Saint Peters,chester,461800,1.3406
Pennsylvania,Sassamansville,montgomery,409900,1.4091
Pennsylvania,Schwenksville,montgomery,409900,1.4091
Pennsylvania,Skippack,montgomery,409900,1.4091
Pennsylvania,Spring City,chester,461800,1.3406
Pennsylvania,Spring House,montgomery,409900,1.4091
Pennsylvania,Spring Mount,montgomery,409900,1.4091
Pennsylvania,Uwchland,chester,461800,1.3406
Pennsylvania,Valley Forge,chester,461800,1.3406
Pennsylvania,West Point,montgomery,409900,1.4091
Pennsylvania,Worcester,montgomery,409900,1.4091
Pennsylvania,Zieglerville,montgomery,409900,1.4091
Pennsylvania,Adamstown,lancaster,279400,1.4105
Pennsylvania,Bally,berks,239700,1.7680
